Priorité,Catégorie,Titre,Impact,Effort estimé,Fichiers concernés,Action principale
MOYENNE,Technique,node_modules/ exposé à la racine,Risque crawl pollution (milliers de pages parasites),5 min,.htaccess ou robots.txt,Ajouter RedirectMatch 404 ^/node_modules/ ou Disallow dans robots.txt
MOYENNE,Technique,Breadcrumb schema item 2 pointe vers ancre #machines,Rich results breadcrumb ignoré,15 min,Tous les fichiers produit L.62-64,Supprimer le niveau intermédiaire ou créer /catalogue.html réel
MOYENNE,On-Page Contenu,H2 "Why buy used from us" trop générique sur pages faibles,Dwell time faible — contenu sans valeur ajoutée,30 min par page,vertical-milling.html angle-grinder.html vibrator.html,Réécrire avec arguments spécifiques machine + contexte Pakistan + économies PKR
MOYENNE,On-Page Contenu,FAQ sans questions acheteurs pakistanais,Long tail non capté — intentions achat locales,1h (toutes les pages),Toutes les pages produit,Ajouter FAQ : prix PKR + livraison Karachi/KPK + garantie + comparaison neuf/occasion
MOYENNE,On-Page Contenu,llms.txt link English pointe vers index.html au lieu de /,Signal incohérent pour crawlers IA,2 min,llms.txt L.39,Remplacer https://machines-for-sale.pk/index.html par https://machines-for-sale.pk/
MOYENNE,E-E-A-T,Aucun avis client / témoignage,CTR et confiance réduits,1h,index.html section contact,Ajouter 2-3 témoignages textuels de vrais acheteurs avec schema Review
MOYENNE,E-E-A-T,Organization schema sans foundingDate ni legalName,E-E-A-T incomplet,5 min,index.html bloc Organization JSON-LD,Ajouter foundingDate + legalName + numberOfEmployees
FAIBLE,E-E-A-T,og:type product sans og:price — carte Facebook incomplète,Partage social sans product card structurée,10 min,Toutes les pages produit L.18,Changer og:type en website OU ajouter og:price:currency et og:price:amount
FAIBLE,Schema,openingHoursSpecification répété inline dans chaque Product,Redondance schema — seller devrait référencer @id,20 min,Toutes les pages produit L.107+,Remplacer seller complet par "@id": "https://machines-for-sale.pk/#organization"
FAIBLE,Schema,Product schema sans aggregateRating,Rich snippet étoiles impossible,10 min (après avis),Toutes les pages produit,Ajouter aggregateRating avec reviewCount une fois les avis collectés
FAIBLE,Schema,sitemap-machines.xml devrait être image sitemap,Google Images non alimenté,30 min,sitemap-machines.xml,Réécrire en image sitemap avec image:loc et image:title pour les 9 images
FAIBLE,Technique,CSS style.css render-blocking sans preload,FCP retardé — premier rendu bloqué,15 min,Toutes les 18 pages L.38,Ajouter <link rel="preload" as="style"> + inliner le CSS critique dans <style> inline
OPPORTUNITÉ,Stratégie Contenu,Créer page /catalogue.html ou /used-machines-pakistan.html,Architecture + breadcrumb réels + cibler "machines catalogue Pakistan",2h,Nouveau fichier,Créer hub avec liste complète + filtres + contenu 500+ mots
OPPORTUNITÉ,Stratégie Contenu,Guide "How to buy used machinery in Pakistan",Autorité topique + partage WhatsApp/Facebook,3-4h,Nouveau fichier blog/,Article 800-1200 mots sur ce que vérifier + prix Pakistan + Sialkot vs Lahore
OPPORTUNITÉ,Stratégie Contenu,Page "Used Machinery Dealers Sialkot" — requête fort volume,Cibler "machinery dealers Sialkot" + "equipment supplier Punjab",2h,Nouveau fichier,Page géo-ciblée avec zones de livraison Punjab et industries desservies
OPPORTUNITÉ,Conversions,WhatsApp Business API — catalog feature,Canal vente direct + partage produits entre acheteurs,1h setup,Aucun (action externe),Créer catalog WhatsApp Business avec photos + descriptions + contact
OPPORTUNITÉ,Stratégie Contenu,Pages industrie : surgical instruments / cutlery Sialkot,Niche authority — concurrence quasi nulle,2-3h par page,Nouveaux fichiers,Page "Machines for Surgical Instrument Manufacturers Sialkot"
OPPORTUNITÉ,Link Building,Citations dans annuaires Pakistan,Signaux NAP + backlinks locaux,2h,Aucun (action externe),Créer listings sur YellowPages.pk + TradeKey.pk + PakistanB2B.com + Rozee.pk
HAUTE,Roman Urdu Search,Zéro contenu Roman Urdu — "machinery for sale Sialkot mein",50%+ des recherches Pakistan en Roman Urdu non captées,2h,Toutes les pages produit,Ajouter FAQ en Roman Urdu translittéré dans les pages produit
HAUTE,Video SEO,Aucune vidéo YouTube — canal #1 de découverte Pakistan,YouTube vidéos apparaissent dans SERP Google — canal ignoré,3-4h,Nouveaux fichiers + YouTube,Créer chaîne YouTube + vidéo démo par machine + schema VideoObject
HAUTE,Featured Snippets,FAQs non optimisées pour position zéro Google,Rich snippets FAQ non déclenchés malgré structure correcte,1h,Toutes les pages produit,Reformater Q&A en H3 question + paragraphe réponse directe (30-50 mots max)
HAUTE,Technique,CSS critique non inliné — render-blocking complet,FCP/LCP retardé de 200-400ms sur mobile,1h,assets/style.css + toutes les pages,Extraire le CSS above-the-fold et l'inliner dans <style> dans chaque page
HAUTE,Link Building,Zéro backlink externe — domaine sans autorité,DA=0 — site invisible pour requêtes concurrentielles,Continu,Aucun (action externe),Demander backlinks depuis forums PakWheels + Sialkot.info + articles presse locale
MOYENNE,Pakistan Mobile,Aucun schéma de prix PKR visible sur mobile,80% trafic mobile — acheteurs veulent prix rapide,30 min,Toutes les pages produit,Ajouter badge "Prix sur demande WhatsApp" visible above-the-fold sur mobile
MOYENNE,Knowledge Graph,Aucun profil Wikidata — Knowledge Panel impossible,Absence dans Knowledge Graph Google,1h,Aucun (action externe),Créer entité Wikidata "Sialkot Used Machinery Co." avec Q-id + lier dans sameAs
MOYENNE,Sécurité Contenu,CSP headers absents — vulnérabilité XSS théorique,Trust signal négatif pour Google (pas critique mais noté),15 min,.htaccess,Ajouter Content-Security-Policy header basique dans .htaccess
FAIBLE,Performance,Iframe Google Maps non conditionnelle,Connexion googleapis chargée même si utilisateur ne défile pas,20 min,index.html section map,Charger l'iframe seulement au click ou à l'intersection (Intersection Observer)
FAIBLE,Urdu SEO,Noto Nastaliq Urdu chargé même sur pages EN,Poids police inutile sur pages anglaises,10 min,Pages produit EN L.36,Retirer Noto Nastaliq Urdu du font-link des pages anglaises (garder uniquement sur /ur/ et urdu.html)
